,name,rating,no_of_reviews,img_links
0,Scott International Men's Regular Fit T-Shirt (Pack of 3),3.7 out of 5 stars,"31,628 ratings",https://m.media-amazon.com/images/I/71vp8Lec9JL._UX522_.jpg
1,DAMENSCH T-Shirt,3.8 out of 5 stars,148 ratings,https://m.media-amazon.com/images/I/71LOO3vX61L._UY550_.jpg
2,Amazon Brand - Symbol Men's Regular T-Shirt,4.0 out of 5 stars,"14,118 ratings",https://m.media-amazon.com/images/I/812qUiDzsxL._UX522_.jpg
3,Amazon Brand - Symbol Men's Regular T-Shirt,3.9 out of 5 stars,824 ratings,https://m.media-amazon.com/images/I/71lMWdtwZSL._UY550_.jpg
4,F GALLERY Printed Round Neck Half Sleeve T-Shirts for Men,3.1 out of 5 stars,33 ratings,https://m.media-amazon.com/images/I/51c6bj0gVZL._UX569_.jpg
5,Maniac Men's Slim Fit T Shirt,3.6 out of 5 stars,"2,445 ratings",https://m.media-amazon.com/images/I/91X79hWEsAL._UY550_.jpg
6,Van Heusen Athleisure Men's Regular Fit T-Shirt,4.0 out of 5 stars,"2,633 ratings",https://m.media-amazon.com/images/I/81EwWUZTv8L._UY550_.jpg
7,Jockey Men's Regular Fit V Neck Half Sleeved T-Shirt,4.3 out of 5 stars,"13,955 ratings",https://m.media-amazon.com/images/I/710b-ohZMPL._UY550_.jpg
8,Amazon Brand - Symbol Men's Regular T-Shirt,4.1 out of 5 stars,"11,821 ratings",https://m.media-amazon.com/images/I/71yZQse7uZL._UY550_.jpg
9,Scott International Men's Regular Fit T-Shirt (Pack of 3),3.7 out of 5 stars,"31,628 ratings",https://m.media-amazon.com/images/I/71vp8Lec9JL._UX522_.jpg
10,Veirdo Men's Cotton Oversized Cow & Zebra Printed T-Shirt,3.9 out of 5 stars,262 ratings,https://m.media-amazon.com/images/I/5145t8LnJkL._UX569_.jpg
11,DAMENSCH T-Shirt,4.3 out of 5 stars,557 ratings,https://m.media-amazon.com/images/I/61X7ItT7hkL._UY550_.jpg
12,ADRO Men's Regular Fit T-Shirt,4.0 out of 5 stars,"2,870 ratings",https://m.media-amazon.com/images/I/61IPqdrJb6L._UY550_.jpg
13,Wear Your Opinion Back Printed Oversize Tshirt for Men,4.2 out of 5 stars,8 ratings,https://m.media-amazon.com/images/I/61WHnIeDRRL._UY550_.jpg
14,fanideaz Mens Cotton Half Sleeve Striped Round Neck T Shirt,4.1 out of 5 stars,63 ratings,https://m.media-amazon.com/images/I/61QfplyCfXL._UY550_.jpg
15,Veirdo Men's Oversized | Loose Fit | Relaxed | Wide Fit 100% Cotton Half Sleeves Doodle Printed T-Shirt,4.2 out of 5 stars,284 ratings,https://m.media-amazon.com/images/I/61UspUGy48L._UX569_.jpg
16,AWG ALL WEATHER GEAR Men's Regular Fit T Shirt (Pack of 5),3.4 out of 5 stars,850 ratings,https://m.media-amazon.com/images/I/71rQ4YK60SL._UX522_.jpg
17,London Hills Printed Men Round Neck Full Sleeve T-Shirt,3.4 out of 5 stars,"1,209 ratings",https://m.media-amazon.com/images/I/61p21cELnEL._UX569_.jpg
18,SHAUN Men T-Shirt (N704MN3_$P_Pack of 3),3.7 out of 5 stars,536 ratings,https://m.media-amazon.com/images/I/81M8NXwR-SL._UX679_.jpg
19,Veirdo Oversized | Loose Fit | Relaxed Fit | Wide Fit 100% Cotton Half Sleeves Smile Printed T-Shirt for Mens/Boys,4.2 out of 5 stars,249 ratings,https://m.media-amazon.com/images/I/51wr-T2ZTKL._UX569_.jpg
20,Amazon Brand - Symbol Men's Regular T-Shirt,4.0 out of 5 stars,"7,931 ratings",https://m.media-amazon.com/images/I/71-x0nhbKxL._UY550_.jpg
21,Amazon Brand - Symbol Men's Regular T-Shirt,4.1 out of 5 stars,"11,821 ratings",https://m.media-amazon.com/images/I/71KaHYt1eTL._UY550_.jpg
22,Amazon Brand - Symbol Men's Regular Fit T-Shirt,4.0 out of 5 stars,504 ratings,https://m.media-amazon.com/images/I/81h59ubWynL._UX466_.jpg
23,ADRO Let's Be Real Mens Printed T-Shirt,3.7 out of 5 stars,6 ratings,https://m.media-amazon.com/images/I/51WJisFpGNL._UX466_.jpg
24,London Hills Solid Men's Round Neck Sports T-Shirt,3.7 out of 5 stars,76 ratings,https://m.media-amazon.com/images/I/61XKzywjH8L._UX569_.jpg
25,AELOMART Men's Cotton T-Shirt,3.9 out of 5 stars,"8,712 ratings",https://m.media-amazon.com/images/I/71CPzIvedhL._UY550_.jpg
26,Park Avenue Men's Slim T-Shirt,3.8 out of 5 stars,5 ratings,https://m.media-amazon.com/images/I/81fDG+IwEyL._UX522_.jpg
27,"Jump Cuts Men's Printed Round Neck Fullsleeve Yellow, Black Cotton Tshirt",3.2 out of 5 stars,163 ratings,https://m.media-amazon.com/images/I/7147w4A5uaL._UY550_.jpg
28,SHAUN Men T-Shirt (N704MT3_$P_Pack of 3),3.6 out of 5 stars,"1,510 ratings",https://m.media-amazon.com/images/I/813gJRfNKKL._UX679_.jpg
29,LEOTUDE Regular Fit Cottonblend Men's T-Shirt Combo (Pack of 2),3.6 out of 5 stars,"3,339 ratings",https://m.media-amazon.com/images/I/81VkTOlHSYL._UX569_.jpg
30,London Hills Printed Men's Round Neck Black T-Shirt,3.8 out of 5 stars,164 ratings,https://m.media-amazon.com/images/I/61kWHspTLbL._UX569_.jpg
31,Ben Martin Men's Round Neck Half Sleeve Slim Fit Printed Cotton T-Shirt,4.4 out of 5 stars,117 ratings,https://m.media-amazon.com/images/I/61Ez5LYX8WL._UX569_.jpg
32,9tails Club - Men's Regular Itachi Quote Black T-Shirt,4.2 out of 5 stars,55 ratings,https://m.media-amazon.com/images/I/61cu49oWE+L._UY550_.jpg
33,Max Men's Regular T-Shirt,4.1 out of 5 stars,327 ratings,https://m.media-amazon.com/images/I/61pb6ehv+OL._UX466_.jpg
34,London Hills Color Block Men Round Neck Sports T-Shirt (Pack of 3),3.6 out of 5 stars,47 ratings,https://m.media-amazon.com/images/I/81DKfNwt0ZL._UX569_.jpg
35,ComicSense.xyz Unisex Regular Fit Tokyo Revengers Anime Printed Round Neck T Shirt,4.2 out of 5 stars,252 ratings,https://m.media-amazon.com/images/I/51gnRTf9W4L._UY550_.jpg
36,DAMENSCH T-Shirt,3.8 out of 5 stars,148 ratings,https://m.media-amazon.com/images/I/71LOO3vX61L._UY550_.jpg
37,U.S. POLO ASSN. Men's Regular T-Shirt,5.0 out of 5 stars,2 ratings,https://m.media-amazon.com/images/I/71iohrNAFoL._UX425_.jpg
38,Reebok Men's Regular T-Shirt,3.9 out of 5 stars,161 ratings,https://m.media-amazon.com/images/I/81dae3wYJbL._UY550_.jpg
39,Pepe Jeans Men's Regular Fit T-Shirt,3.6 out of 5 stars,19 ratings,https://m.media-amazon.com/images/I/71pobSA-k+L._UY550_.jpg
40,Puma Men's Regular T-Shirt,3.6 out of 5 stars,6 ratings,https://m.media-amazon.com/images/I/51QQuR2rPNL._UX679_.jpg
41,U.S. POLO ASSN. Men's Regular T-Shirt,3.9 out of 5 stars,71 ratings,https://m.media-amazon.com/images/I/71I-wrizV2L._UY550_.jpg
42,Amazon Brand - Symbol Men's Regular T-Shirt,3.7 out of 5 stars,149 ratings,https://m.media-amazon.com/images/I/81Mm30-1H2S._UY550_.jpg
43,London Hills Men's Round Neck Regular Fit T-Shirt (Pack of 2),3.9 out of 5 stars,933 ratings,https://m.media-amazon.com/images/I/917j0lCeCxL._UX569_.jpg
44,ALL YOUR DESIGN Men's/Women's Regular Fit -Colourful - Holi Tshirt Shirt for Men/Women Printed Round Neck Tshirt || Mens/Womens Tshirts Polycotton Half Sleeve,2.8 out of 5 stars,17 ratings,https://m.media-amazon.com/images/I/51TGITsC1QL._UX425_.jpg
45,Easies by Killer Men T-Shirt,4.0 out of 5 stars,29 ratings,https://m.media-amazon.com/images/I/81Wv7o8gxTL._UY550_.jpg
46,Lee Blue Graphic Print Regular Fit Tshirt,4.3 out of 5 stars,6 ratings,https://m.media-amazon.com/images/I/71GQfj-csVL._UY550_.jpg
47,"XYXX Menâ€™s Round Neck Relaxed Fit Tshirt - Code Loungewear with N9 Silver Finish, 2X Softer Than Cotton, High Moisture Absorption, Classic Look",4.6 out of 5 stars,16 ratings,https://m.media-amazon.com/images/I/61tPivsN5tL._UY550_.jpg
48,NEWPORT Men's Slim T-Shirt,4.0 out of 5 stars,3 ratings,https://m.media-amazon.com/images/I/81QSN1H9C2L._UX522_.jpg
49,ComicSense.xyz Demon Slayer Anime Hinokami Kagura T Shirt,4.7 out of 5 stars,4 ratings,https://m.media-amazon.com/images/I/61l-8aaw-yL._UY679_.jpg
50,BLIVE Men's Round Neck Full Sleeves T-Shirt,3.5 out of 5 stars,"1,001 ratings",https://m.media-amazon.com/images/I/713flxHPZKL._UY550_.jpg
51,ComicSense.xyz Tanjiro Zenitsu Inosuke Anime Demon Slayer T Shirt,4.3 out of 5 stars,10 ratings,https://m.media-amazon.com/images/I/71jhwldacpL._UY679_.jpg
52,The Souled Store Justice League: Logo Mens and Boys Graphic Printed Cotton Drop Cut T-Shirts Navy Blue,4.0 out of 5 stars,642 ratings,https://m.media-amazon.com/images/I/618DFECI5gL._UY679_.jpg
53,Max Men's Slim T-Shirt,3.6 out of 5 stars,24 ratings,https://m.media-amazon.com/images/I/81r-SkUF9kS._UY550_.jpg
54,Max Men's Slim T-Shirt,4.1 out of 5 stars,77 ratings,https://m.media-amazon.com/images/I/81zCEHuhu+S._UX522_.jpg
55,ComicSense.xyz Men's Oversized Fit Tokyo Revengers Anime Draken Pattern T-shirt,4.2 out of 5 stars,60 ratings,https://m.media-amazon.com/images/I/51jtLxmNy0L._UY679_.jpg
56,Amazon Brand - Symbol Men's Regular T-Shirt,3.8 out of 5 stars,730 ratings,https://m.media-amazon.com/images/I/710Fu+nYqoL._UY550_.jpg
57,Amazon Brand - Symbol Men's Regular T-Shirt,4.1 out of 5 stars,"4,125 ratings",https://m.media-amazon.com/images/I/81agNkA1rNL._UY550_.jpg
58,Van Heusen Athleisure Men's Regular Fit T-Shirt,4.0 out of 5 stars,"2,633 ratings",https://m.media-amazon.com/images/I/71GnzCoqDdL._UY550_.jpg
59,Amazon Brand - Symbol Men's Regular T-Shirt,4.0 out of 5 stars,"7,674 ratings",https://m.media-amazon.com/images/I/815Eu3CC7mL._UY550_.jpg
